face_card,blind_card,total,удфча_нуль,удфча_один,добыча,еда
8,10,18,3,3,17,-1
3,6,19,5,2,17,-1
2,10,18,6,3,19,1
8,7,20,10,5,15,-1
10,2,21,2,10,12,-1
10,11,29,3,8,11,1
5,5,17,5,9,14,-1
10,3,23,2,7,18,1
3,5,20,6,6,12,-1
10,11,24,9,10,19,1
11,3,19,8,10,18,-1
6,3,21,10,10,20,-1
5,10,24,10,3,13,1
9,11,20,10,10,20,0
10,10,20,2,8,10,-1
8,4,27,2,9,11,1
7,4,17,10,8,18,1
2,11,19,10,2,12,-1
7,10,17,10,10,20,1
3,10,20,6,10,16,-1
10,3,18,10,9,19,1
3,7,21,11,3,14,1
5,4,19,3,8,11,-1
7,3,16,8,4,12,-1
9,2,17,9,5,14,-1
10,10,20,10,10,20,0
5,10,25,10,3,13,1
7,6,23,10,11,21,1
5,9,23,2,8,10,1
10,10,20,5,10,15,-1
10,6,26,6,10,16,1
10,4,24,10,9,19,1
8,2,24,2,7,18,1
10,9,19,7,10,17,-1
2,10,20,4,3,10,-1
2,8,18,6,10,16,-1
2,5,15,10,6,16,1
2,10,17,10,3,13,-1
10,4,24,10,10,20,1
11,11,32,11,10,21,1
3,8,19,9,9,18,-1
2,10,22,7,4,11,1
10,10,20,6,8,14,-1
6,5,21,2,11,13,-1
11,10,25,10,10,20,1
11,10,29,5,10,15,1
11,10,31,10,5,15,1
8,10,18,2,8,10,-1
10,2,22,10,6,16,1
10,10,20,10,10,20,0
11,4,25,6,5,11,1
2,10,22,2,10,12,1
6,10,24,4,10,14,1
3,4,21,10,4,14,1
5,8,20,6,6,12,-1
10,3,23,8,9,17,1
10,7,17,6,7,13,-1
2,2,25,6,9,15,1
10,6,27,6,4,10,1
2,3,19,9,10,19,0
6,9,24,4,6,10,1
5,9,21,9,2,11,1
11,11,26,8,4,12,1
10,4,25,9,11,20,1
8,3,18,7,10,17,-1
8,5,18,10,10,20,1
10,3,18,10,9,19,1
10,10,20,10,6,16,-1
8,9,17,8,10,18,1
6,10,23,8,10,18,1
3,4,19,6,6,12,-1
4,6,19,10,10,20,1
10,5,25,11,11,22,1
10,3,18,6,10,16,-1
9,7,26,10,2,12,1
2,3,25,10,9,19,1
3,2,24,6,11,17,1
8,5,23,4,7,11,1
10,10,20,9,11,20,0
2,5,12,10,7,17,1
10,11,25,3,10,13,1
10,4,21,11,3,14,1
5,10,22,8,7,15,1
11,7,18,9,10,19,1
9,7,25,2,10,12,1
4,6,20,10,10,20,0
10,10,20,2,4,10,-1
10,9,19,11,10,21,1
6,10,19,10,2,12,-1
11,3,20,9,10,19,-1
5,8,21,10,10,20,-1
8,3,18,10,10,20,1
10,10,20,7,9,16,-1
6,8,19,6,6,12,-1
10,10,20,6,10,16,-1
8,4,20,10,4,14,-1
9,10,19,3,7,10,-1
10,9,19,8,2,10,-1
3,4,13,10,4,14,1
2,10,20,3,2,12,-1
6,10,18,8,11,19,1
4,8,23,10,3,13,1
4,7,20,10,11,21,1
10,10,20,11,6,17,-1
7,9,26,5,10,15,1
7,7,24,10,2,12,1
10,3,24,3,10,13,1
10,2,22,10,11,21,1
10,10,20,10,9,19,-1
6,10,26,9,10,19,1
8,10,18,10,8,18,0
9,4,18,10,10,20,1
10,11,29,9,9,18,1
10,10,20,7,10,17,-1
4,10,21,7,7,14,-1
11,8,19,2,8,10,-1
8,10,18,4,7,11,-1
2,6,18,6,5,11,-1
3,10,24,9,8,17,1
2,8,18,10,10,20,1
6,5,17,4,8,12,-1
10,9,19,10,10,20,1
10,9,19,8,2,10,-1
2,6,25,10,2,12,1
10,11,32,10,10,20,1
10,7,17,11,7,18,1
8,5,20,5,7,12,-1
7,2,19,10,10,20,1
8,10,18,7,10,17,-1
11,9,20,9,10,19,-1
2,10,20,3,2,8,-1
6,10,21,2,7,12,-1
8,2,20,10,3,13,-1
8,9,17,6,3,18,1
6,7,23,10,7,17,1
10,9,19,10,8,18,-1
11,10,28,10,11,21,1
7,10,17,2,11,13,-1
2,10,22,7,5,12,1
10,10,20,10,7,17,-1
10,7,17,10,6,16,-1
3,10,23,10,2,12,1
2,5,18,3,4,12,-1
10,2,17,7,2,19,1
6,3,20,10,10,20,0
8,3,18,4,3,17,-1
8,10,18,9,4,13,-1
10,10,20,6,5,11,-1
4,9,20,8,10,18,-1
10,8,18,10,6,16,-1
-14,5,25,10,8,18,1
7,10,17,6,10,16,-1
5,7,22,11,10,21,1
10,4,22,9,9,18,1
3,10,23,10,6,16,1
8,4,22,10,8,18,1
11,10,31,3,2,15,1
2,7,19,11,10,21,1
3,10,23,4,7,11,1
10,10,20,3,6,17,-1
10,10,20,10,11,21,1
6,10,24,7,9,16,1
10,6,26,7,10,17,1
11,10,30,3,10,13,1
6,4,21,6,4,10,1
8,10,18,5,11,16,-1
10,10,20,11,10,21,1
10,4,26,4,2,16,1
7,10,17,10,10,20,1
2,10,18,9,6,15,-1
3,2,19,9,5,14,-1
3,11,25,8,10,18,1
10,2,18,8,10,18,0
8,4,22,11,8,19,1
11,8,19,8,3,11,-1
2,4,20,11,6,17,-1
10,10,20,8,4,12,-1
2,10,22,3,7,10,1
2,10,22,9,7,16,1
3,4,22,11,7,18,1
11,10,27,7,11,18,1
9,3,19,2,6,16,-1
6,8,17,10,8,18,1
3,10,21,11,5,16,1
7,7,17,10,6,16,-1
3,10,20,5,11,16,-1
2,10,23,10,10,20,1
10,6,26,7,10,17,1
6,2,18,10,2,12,-1
2,10,19,2,3,8,-1
3,7,17,5,10,15,-1
9,7,20,5,3,17,-1
10,3,24,7,10,17,1
7,7,25,2,10,12,1
4,3,17,10,5,15,-1
3,8,19,8,5,13,-1
7,10,17,8,6,14,-1
6,5,26,8,8,16,1
6,10,26,8,4,12,1
8,11,19,10,10,20,1
7,11,18,5,6,11,-1
10,8,18,4,10,14,-1
8,10,18,10,10,20,1
7,10,17,2,4,13,-1
5,8,26,10,3,13,1
6,3,17,10,3,13,-1
3,10,18,2,9,11,-1
4,3,17,10,4,14,-1
3,10,23,8,10,18,1
5,9,20,5,10,15,-1
11,10,24,7,11,18,1
11,8,19,8,10,18,-1
5,10,25,9,9,18,1
10,10,20,5,10,15,-1
5,9,24,10,11,21,1
10,10,20,9,10,19,-1
3,9,23,9,7,16,1
3,10,20,6,7,13,-1
10,9,19,10,11,21,1
2,6,18,3,8,11,-1
11,10,31,7,2,19,1
10,3,23,10,10,20,1
4,3,17,8,2,10,-1
10,9,19,6,5,11,-1
10,5,22,10,2,12,1
10,6,26,10,6,16,1
11,10,31,4,7,11,1
6,10,24,9,2,11,1
6,6,22,11,3,14,1
5,8,23,11,10,21,1
10,10,20,10,4,14,-1
11,4,26,10,8,18,1
10,10,20,5,5,10,-1
7,10,17,8,2,10,-1
10,5,17,2,10,12,-1
10,11,31,3,6,16,1
10,6,20,11,10,21,1
8,5,18,8,9,17,-1
10,10,20,10,8,18,-1
3,11,20,10,10,20,0
7,8,17,9,2,11,-1
10,10,20,8,8,16,-1
6,4,25,6,11,17,1
10,10,20,10,11,21,1
3,3,25,3,9,12,1
10,2,22,11,8,19,1
5,8,23,10,10,20,1
10,10,20,10,5,15,-1
2,10,20,11,9,20,0
2,3,12,10,3,13,1
10,3,21,5,7,12,1
4,9,18,10,10,20,1
5,2,17,8,2,10,-1
10,4,24,5,10,15,1
10,10,20,8,7,15,-1
5,7,20,10,7,17,-1
2,8,21,8,11,19,-1
2,10,22,8,10,18,1
2,6,20,11,3,14,-1
11,10,29,5,10,15,1
10,3,26,4,10,14,1
10,10,20,7,10,17,-1
9,7,20,2,11,13,-1
6,6,25,11,10,21,1
3,7,24,2,9,11,1
2,10,19,5,2,17,-1
11,9,20,4,9,13,-1
8,10,18,7,9,16,-1
2,11,23,3,10,13,1
4,8,23,10,8,18,1
10,5,22,10,9,19,1
10,10,20,2,7,19,-1
10,5,18,10,7,17,-1
3,5,18,10,9,19,1
9,10,19,8,9,17,-1
3,3,26,4,9,13,1
4,9,20,2,7,19,-1
10,11,30,5,9,14,1
10,10,20,6,10,16,-1
10,4,17,10,10,20,1
5,10,25,4,10,14,1
10,9,19,4,10,14,-1
10,3,23,10,7,17,1
5,9,24,4,10,14,1
6,10,19,6,6,12,-1
11,2,19,2,10,12,-1
10,10,20,10,6,16,-1
10,9,19,3,4,17,-1
6,8,19,10,7,17,-1
8,7,25,8,8,16,1
9,5,20,10,10,20,0
7,10,17,11,8,19,1
5,7,19,7,4,11,-1
4,9,18,10,7,17,-1
4,3,17,11,9,20,1
10,11,31,5,10,15,1
2,6,18,10,8,18,0
3,11,25,9,2,11,1
11,2,22,9,2,11,1
7,10,17,6,9,15,-1
8,10,18,10,10,20,1
10,9,19,8,5,13,-1
10,10,20,6,9,15,-1
10,10,20,6,2,18,-1
10,2,20,10,6,16,-1
4,10,21,6,6,12,-1
4,10,23,6,10,16,1
2,7,20,10,10,20,0
10,8,18,9,5,14,-1
11,11,32,8,10,18,1
2,11,26,5,10,15,1
10,5,19,10,2,12,-1
8,2,23,10,10,20,1
3,10,19,9,8,17,-1
8,6,24,10,5,15,1
2,3,11,2,2,8,1
6,9,17,10,10,20,1
4,9,23,5,4,19,1
2,11,19,4,8,12,-1
5,10,22,6,10,16,1
4,10,24,11,10,21,1
10,10,20,6,10,16,-1
6,6,18,7,6,13,-1
10,6,26,3,8,11,1
6,6,22,10,7,17,1
7,10,17,10,7,17,0
10,5,22,7,5,12,1
5,6,17,5,10,15,-1
8,3,19,11,5,16,-1
6,4,19,8,11,19,0
6,7,23,4,10,14,1
4,3,17,10,10,20,1
10,10,20,10,9,19,-1
10,3,20,10,10,20,0
3,8,17,8,5,13,-1
10,5,22,10,8,18,1
7,6,20,5,2,17,-1
10,10,20,4,5,18,-1
6,4,25,8,9,17,1
2,10,17,6,10,16,-1
2,10,21,6,10,16,-1
10,2,26,10,7,17,1
5,8,23,2,10,12,1
3,8,22,9,10,19,1
10,3,23,3,2,14,1
10,10,20,11,10,21,1
10,6,26,10,5,15,1
6,3,20,10,10,20,0
8,6,17,10,11,21,1
8,3,22,5,10,15,1
5,10,20,8,10,18,-1
8,4,19,8,8,16,-1
2,10,18,7,3,10,-1
4,2,20,8,10,18,-1
7,10,17,4,10,14,-1
11,9,20,5,6,11,-1
10,4,23,11,8,19,1
10,8,18,10,10,20,1
3,10,23,3,4,17,1
10,10,20,5,10,15,-1
6,10,24,2,7,12,1
3,3,16,4,10,14,1
8,7,17,10,5,15,-1
11,3,22,9,11,20,1
8,7,23,2,5,17,1
7,9,26,3,4,17,1
7,9,24,10,9,19,1
10,7,17,7,6,13,-1
6,4,20,2,10,12,-1
10,7,17,7,5,12,-1
7,6,24,11,10,21,1
11,10,31,3,11,14,1
3,2,25,6,9,15,1
10,10,20,2,11,13,-1
7,10,17,8,6,14,-1
10,10,20,10,8,18,-1
3,6,17,9,2,11,-1
7,10,17,10,11,21,1
6,3,19,3,9,12,-1
10,2,19,10,8,18,-1
5,4,18,9,2,11,-1
8,3,25,10,5,15,1
10,5,20,10,10,20,0
10,10,20,10,10,20,0
10,10,20,10,9,19,-1
5,10,19,10,4,14,-1
5,7,19,8,10,18,-1
3,10,23,8,10,18,1
4,10,23,10,10,20,1
7,9,23,4,2,8,1
10,11,31,10,7,17,1
8,2,20,3,10,13,-1
3,10,18,2,3,11,-1
4,9,18,6,10,16,-1
5,10,21,9,7,16,-1
8,4,21,8,4,12,-1
10,10,20,10,5,15,-1
11,7,18,10,2,12,-1
8,2,17,10,8,18,1
10,6,26,9,10,19,1
10,8,18,4,10,14,-1
3,10,22,10,8,18,1
4,6,20,10,4,14,-1
9,6,22,3,6,20,1
9,2,21,6,8,14,1
10,10,20,10,5,15,-1
4,7,22,9,10,19,1
6,11,17,3,10,13,-1
10,10,20,6,6,12,-1
4,3,20,9,5,14,-1
10,5,24,10,3,13,1
11,7,18,5,6,11,-1
10,9,19,9,7,16,-1
7,10,17,11,3,14,-1
3,11,24,2,4,10,1
10,7,17,11,11,22,1
7,10,17,9,2,11,-1
10,3,23,4,11,15,1
6,2,23,3,7,10,1
10,10,20,6,10,16,-1
7,6,17,11,10,21,1
7,4,21,10,2,12,1
7,6,20,10,3,13,-1
10,10,20,2,6,11,-1
9,2,17,11,10,21,1
10,6,20,7,2,17,-1
10,10,20,2,10,12,-1
5,2,18,2,10,12,-1
8,8,26,7,10,17,1
7,9,19,2,5,13,-1
11,9,20,11,7,18,-1
10,2,23,3,8,11,1
11,4,22,8,8,16,1
3,4,18,9,3,12,-1
2,2,19,4,6,10,-1
4,4,26,8,10,18,1
10,10,20,10,9,19,-1
4,5,20,9,11,20,0
9,10,19,4,10,14,-1
10,10,20,10,10,20,0
10,5,17,6,5,11,-1
3,11,20,11,9,20,0
6,2,23,7,11,18,1
2,9,21,7,2,18,1
2,11,23,7,11,18,1
10,10,20,9,7,16,-1
9,2,22,8,5,13,1
11,5,25,10,8,18,1
3,4,17,10,10,20,1
3,9,22,8,4,12,1
10,7,17,2,10,12,-1
3,10,23,10,9,19,1
3,7,21,7,8,15,1
7,11,18,8,10,18,0
10,7,17,4,10,14,-1
11,11,32,10,8,18,1
5,10,25,5,9,14,1
10,6,24,5,5,10,1
7,9,26,3,10,13,1
11,10,24,6,10,16,1
11,7,18,10,10,20,1
8,10,18,10,2,12,-1
8,2,25,2,5,10,1
3,10,21,5,6,11,1
8,2,17,10,6,16,-1
8,6,24,3,8,11,1
2,7,20,8,10,18,-1
10,5,25,6,5,11,1
3,10,23,7,9,16,1
9,10,19,7,7,14,-1
11,3,24,8,2,10,1
2,10,22,7,11,18,1
10,9,19,8,10,18,-1
5,7,22,4,10,14,1
10,11,27,2,4,11,1
9,10,19,6,8,14,-1
10,10,20,10,10,20,0
2,10,22,10,10,20,1
2,10,18,3,11,14,-1
5,10,17,10,8,18,1
2,10,25,5,3,18,1
9,6,18,3,7,10,-1
4,4,17,6,2,11,-1
4,10,24,10,10,20,1
10,11,31,10,10,20,1
8,8,26,10,3,13,1
3,10,19,8,11,19,0
10,5,25,4,10,14,1
6,4,20,5,7,12,-1
10,11,23,6,10,16,1
4,10,24,11,10,21,1
8,10,18,10,2,12,-1
8,6,23,2,5,17,1
6,10,25,9,10,19,1
9,3,22,4,10,14,1
10,4,20,3,10,13,-1
11,10,32,7,10,17,1
9,10,19,10,9,19,0
10,9,19,3,10,13,-1
5,10,25,6,10,16,1
10,11,31,11,6,17,1
10,4,18,9,7,16,-1
2,10,23,2,10,12,1
10,2,19,8,10,18,-1
5,10,25,5,11,16,1
4,4,17,10,10,20,1
8,6,23,10,8,18,1
4,9,21,8,4,12,1
5,4,19,2,10,12,-1
7,7,25,6,5,11,1
8,5,18,5,10,15,-1
3,6,13,10,2,12,-1
8,4,23,8,10,18,1
10,10,20,8,10,18,-1
11,10,26,5,10,15,1
11,9,20,3,2,11,-1
10,7,17,10,3,13,-1
10,2,23,9,3,12,1
2,9,18,3,10,13,-1
2,6,21,5,2,16,-1
8,10,18,10,10,20,1
9,10,19,10,11,21,1
3,10,19,11,10,21,1
4,2,22,11,6,17,1
11,10,31,10,11,21,1
6,3,23,3,8,11,1
4,10,25,2,7,17,1
4,4,16,2,11,13,1
3,4,16,4,11,15,1
8,2,18,8,11,19,1
10,7,17,4,7,11,-1
10,4,24,10,10,20,1
11,5,20,3,6,19,-1
8,10,18,6,10,16,-1
10,10,20,10,7,17,-1
10,11,24,10,8,18,1
2,8,20,10,3,13,-1
3,7,20,3,4,17,-1
10,2,18,9,4,13,-1
7,3,20,11,3,14,-1
3,6,19,10,5,15,-1
6,2,18,10,8,18,0
5,9,18,4,9,13,-1
7,10,17,3,11,14,-1
2,8,20,3,6,13,-1
3,7,24,10,4,14,1
10,9,19,11,10,21,1
8,5,20,2,9,11,-1
4,10,22,2,5,14,1
5,4,24,10,7,17,1
3,7,25,5,10,15,1
10,3,17,7,10,17,0
7,6,23,10,8,18,1
10,2,19,9,10,19,0
6,7,20,2,9,11,-1
7,8,25,10,3,13,1
8,3,17,10,7,17,0
10,11,29,2,6,10,1
9,7,27,5,10,15,1
7,5,22,10,7,17,1
4,8,18,10,5,15,-1
2,11,23,10,4,14,1
2,11,21,10,11,21,0
10,10,20,10,10,20,0
4,10,24,6,2,14,1
5,10,26,10,2,12,1
3,7,23,6,10,16,1
3,10,22,3,10,13,1
10,9,19,6,10,16,-1
5,4,19,10,4,14,-1
6,10,23,5,10,15,1
10,10,20,6,10,16,-1
10,9,19,7,7,14,-1
10,7,17,11,10,21,1
9,10,19,2,9,11,-1
6,10,24,9,2,11,1
11,6,17,11,9,20,1
10,11,24,5,10,15,1
6,6,23,10,5,15,1
10,10,20,8,10,18,-1
9,11,20,10,5,15,-1
8,11,19,3,7,10,-1
8,3,18,10,10,20,1
8,8,20,3,7,10,-1
7,3,18,4,9,13,-1
2,3,24,10,6,16,1
6,11,17,10,4,14,-1
5,3,25,5,10,15,1
3,10,22,6,8,14,1
4,9,23,11,7,18,1
8,5,23,3,5,19,1
10,8,18,3,4,14,-1
10,6,26,4,4,18,1
10,10,20,10,3,13,-1
5,10,25,10,9,19,1
5,10,26,9,10,19,1
3,7,17,3,9,12,-1
3,7,21,4,10,14,-1
9,5,22,2,3,15,1
6,3,22,11,9,20,1
8,10,18,10,10,20,1
6,7,21,3,7,10,1
2,10,21,10,7,17,1
11,4,18,3,10,13,-1
11,6,17,4,7,11,-1
2,9,24,5,3,13,1
10,11,28,2,5,17,1
10,7,17,10,5,15,-1
7,11,18,10,5,15,-1
10,9,19,7,6,13,-1
6,9,23,11,10,21,1
10,10,20,10,11,21,1
4,2,16,5,5,10,1
9,10,19,2,10,12,-1
6,5,21,7,8,15,-1
3,6,22,8,10,18,1
7,2,17,10,10,20,1
10,5,25,3,9,12,1
5,2,17,10,2,12,-1
2,4,17,3,10,13,-1
4,10,19,2,10,12,-1
5,4,19,10,4,14,-1
2,10,24,10,10,20,1
10,10,20,10,7,17,-1
8,4,18,8,5,13,-1
11,4,25,9,9,18,1
4,8,20,2,10,12,-1
9,10,19,3,10,13,-1
4,8,22,10,4,14,1
5,11,27,10,10,20,1
8,2,26,7,6,13,1
2,8,16,8,8,16,0
10,10,20,5,5,10,-1
11,10,31,10,10,20,1
9,4,18,8,10,18,0
4,10,21,10,11,21,0
3,8,21,4,7,11,0
10,10,20,7,5,12,-1
2,2,18,10,10,20,1
4,10,17,10,4,14,-1
10,10,20,8,8,16,-1
9,10,19,8,10,18,-1
10,2,24,5,10,15,1
10,3,21,6,8,14,1
10,3,24,10,9,19,1
5,10,24,3,11,14,1
5,3,16,3,2,10,1
8,3,21,11,10,21,0
9,2,25,10,11,21,1
9,10,19,10,10,20,1
4,10,23,8,7,15,1
8,8,26,10,3,13,1
10,7,17,4,10,14,-1
2,3,13,10,10,20,1
6,11,17,10,2,12,-1
8,6,22,2,10,12,1
10,10,20,10,4,14,-1
3,11,24,3,4,13,1
10,4,19,2,10,12,-1
7,7,24,7,7,14,1
10,10,20,11,10,21,1
6,10,25,5,10,15,1
10,4,25,10,8,18,1
10,6,27,10,6,16,1
4,2,24,10,10,20,1
11,10,31,3,10,13,1
9,6,24,2,5,17,1
4,11,25,7,9,16,1
2,5,18,11,10,21,1
8,6,17,8,10,18,1
4,4,22,10,11,21,1
10,9,19,3,6,14,-1
5,5,20,10,7,17,-1
6,3,22,3,10,13,1
10,10,20,9,4,13,-1
10,3,20,10,2,12,-1
5,9,19,2,4,14,-1
7,4,21,11,3,14,-1
7,10,17,10,10,20,1
10,3,24,10,11,21,1
4,10,21,10,10,20,1
10,3,22,11,2,13,1
11,10,31,4,4,18,1
6,10,23,10,11,21,1
5,5,18,8,3,11,-1
11,9,20,9,8,17,-1
8,7,22,5,10,15,1
4,8,22,10,10,20,1
11,7,18,4,10,14,-1
5,9,25,10,6,16,1
3,2,12,10,10,20,1
8,9,17,2,5,18,1
10,10,20,8,2,10,-1
10,10,20,10,10,20,0
10,10,20,7,9,16,-1
9,2,21,10,2,12,-1
3,10,23,3,2,7,1
7,5,20,11,10,21,1
10,10,20,11,7,18,-1
11,10,31,10,7,17,1
11,11,24,10,9,19,1
4,6,19,4,7,11,-1
9,10,19,7,5,12,-1
10,8,18,3,10,13,-1
10,2,18,10,9,19,1
5,9,24,6,2,14,1
10,10,20,5,2,14,-1
10,9,19,6,9,15,-1
2,4,25,4,7,11,1
10,9,19,10,10,20,1
8,10,18,11,7,18,0
2,5,17,6,11,17,0
10,3,24,7,9,16,1
4,10,24,11,7,18,1
2,5,14,4,10,14,0
10,9,19,3,9,12,-1
7,2,20,8,6,14,-1
7,5,18,10,8,18,0
3,10,23,4,11,15,1
4,8,23,9,10,19,1
5,8,24,10,8,18,1
10,10,20,3,4,13,-1
4,9,22,2,5,12,1
3,6,26,9,10,19,1
10,6,19,3,10,13,-1
7,8,18,2,9,11,-1
10,2,19,5,7,12,-1
10,10,20,9,11,20,0
8,2,20,2,10,12,-1
5,10,19,8,3,11,-1
10,10,20,3,7,10,-1
5,10,25,4,9,13,1
7,9,26,10,6,16,1
10,8,18,4,5,20,1
10,2,26,10,9,19,1
4,5,16,10,10,20,1
4,3,17,2,2,15,-1
5,2,26,10,7,17,1
10,8,18,10,7,17,-1
2,6,16,5,9,14,-1
7,5,20,5,3,16,-1
5,5,21,5,9,14,-1
5,7,22,8,6,14,1
3,8,20,4,7,11,-1
9,10,19,5,2,17,-1
10,2,23,10,4,14,1
10,5,19,10,7,17,-1
7,2,19,7,9,16,-1
11,10,26,5,4,19,1
8,3,21,2,4,10,1
3,10,23,3,9,12,1
2,5,17,4,7,11,-1
4,10,24,11,10,21,1
4,2,20,10,10,20,0
10,4,24,4,2,8,1
5,11,22,9,2,11,1
2,6,18,8,11,19,1
10,7,17,4,11,15,-1
