face_card,blind_card,total,удфча_нуль,удфча_один,добыча,еда
4,4,15,2,6,19,1
10,7,17,6,2,17,0
7,11,18,10,7,17,-1
2,2,19,10,10,20,1
6,8,18,5,3,18,0
6,2,22,8,4,12,1
8,7,19,9,6,15,-1
9,10,19,9,10,19,0
10,8,18,11,3,14,-1
10,10,20,2,5,15,-1
10,3,20,2,10,12,-1
10,5,26,7,10,17,1
5,7,22,6,11,17,1
4,10,22,2,10,12,1
10,7,17,10,10,20,1
5,11,19,3,8,11,-1
10,5,17,10,9,19,1
9,9,18,4,6,10,-1
2,5,13,6,2,17,1
2,2,25,2,4,14,1
10,9,19,3,7,10,-1
8,10,18,10,10,20,1
6,10,22,5,5,10,1
9,10,19,6,9,15,-1
6,6,22,10,7,17,1
11,2,21,10,10,20,1
6,8,22,9,6,15,1
5,10,25,5,2,18,1
9,10,19,11,9,20,1
8,5,26,5,4,15,1
10,10,20,7,11,18,-1
7,10,17,2,5,17,0
2,10,22,4,10,14,1
10,5,21,5,8,13,1
2,11,22,4,3,11,1
3,11,19,10,10,20,1
6,10,26,10,10,20,1
7,10,17,3,3,9,-1
7,9,18,10,3,13,-1
8,8,25,6,4,10,1
10,5,25,11,2,13,1
10,9,19,2,8,10,-1
6,10,27,10,4,14,1
10,10,20,10,3,13,-1
5,8,26,3,10,13,1
11,9,20,7,2,19,-1
10,5,17,10,5,15,-1
5,7,22,4,10,14,1
6,9,26,10,10,20,1
8,10,18,10,10,20,1
6,8,24,8,8,16,1
10,2,17,10,10,20,1
10,10,20,10,8,18,-1
10,3,23,11,2,13,1
4,3,17,11,10,21,1
2,10,22,2,10,12,1
11,11,33,3,10,13,1
11,2,17,3,3,11,-1
10,5,20,11,6,17,-1
8,10,18,10,10,20,1
6,5,21,3,11,14,1
6,8,19,10,7,17,-1
5,10,24,5,8,13,1
3,11,18,5,7,12,-1
2,10,20,11,4,15,-1
6,10,23,4,6,10,1
2,3,24,7,10,17,1
10,4,24,9,10,19,1
6,10,26,10,7,17,1
6,2,18,10,2,12,-1
10,10,20,10,10,20,0
4,9,25,4,2,16,1
10,10,20,10,11,21,1
8,7,20,10,4,14,-1
11,2,18,5,2,17,-1
7,5,22,11,8,19,1
5,4,19,10,4,14,-1
10,7,17,3,9,12,-1
6,6,18,7,10,17,-1
11,6,17,4,7,11,-1
10,2,21,10,11,21,0
4,6,20,10,6,16,-1
10,10,20,6,10,16,-1
2,8,24,10,8,18,1
6,8,23,10,11,21,1
7,6,21,7,6,13,1
3,9,18,4,8,12,-1
10,8,18,3,7,10,-1
6,11,17,9,5,14,-1
10,10,20,9,7,16,-1
7,10,17,10,10,20,1
9,10,19,5,10,15,-1
5,10,25,10,11,21,1
6,5,23,4,9,13,1
7,9,27,8,6,14,1
11,10,32,10,7,17,1
6,5,20,10,4,14,-1
6,10,20,4,11,15,-1
8,10,18,10,6,16,-1
11,10,26,10,5,15,1
3,5,17,7,6,13,-1
10,10,20,8,10,18,-1
4,10,21,8,4,12,-1
11,10,31,3,10,13,1
10,5,17,8,4,12,-1
9,10,19,9,10,19,0
10,11,23,2,10,12,1
2,7,19,5,4,20,1
2,10,20,5,7,12,-1
6,10,22,4,5,19,1
10,9,19,10,8,18,-1
8,11,19,2,6,15,-1
9,10,19,8,3,11,-1
5,10,25,7,10,17,1
6,5,22,10,10,20,1
9,3,24,9,10,19,1
9,3,17,10,4,14,-1
10,10,20,8,10,18,-1
3,10,22,10,8,18,1
10,10,20,9,7,16,-1
11,5,26,5,10,15,1
10,10,20,9,5,14,-1
4,10,24,10,10,20,1
5,10,25,5,8,13,1
5,4,26,4,3,11,1
8,10,18,5,2,17,-1
10,6,26,10,5,15,1
7,6,24,10,10,20,1
4,2,21,2,2,7,1
10,10,20,10,8,18,-1
4,9,23,5,11,16,1
9,11,20,10,3,13,-1
3,3,16,3,8,11,-1
2,8,20,11,7,18,-1
3,7,19,9,8,17,-1
10,7,17,3,3,14,-1
10,9,19,3,10,13,-1
9,10,19,3,4,17,-1
2,8,20,10,11,21,1
4,11,18,6,2,13,-1
2,10,22,11,9,20,1
5,4,23,7,4,11,1
11,3,17,3,4,14,-1
10,6,20,10,8,18,-1
10,6,25,6,9,15,1
7,3,22,5,8,13,1
7,4,19,9,10,19,0
7,9,26,9,11,20,1
10,2,19,4,6,10,-1
10,10,20,11,8,19,-1
10,9,19,8,8,16,-1
10,5,25,10,8,18,1
2,2,22,9,8,17,1
10,10,20,3,8,11,-1
3,10,17,2,11,13,-1
2,4,12,11,9,20,1
7,10,17,4,3,13,-1
3,5,25,3,5,18,1
7,10,17,7,11,18,1
11,5,24,11,10,21,1
7,6,23,11,10,21,1
5,11,26,4,11,15,1
4,10,19,11,5,16,-1
9,5,20,10,2,12,-1
7,10,17,10,2,12,-1
10,8,18,10,10,20,1
2,5,19,3,10,13,-1
8,10,18,6,8,14,-1
11,9,20,10,4,14,-1
4,5,17,10,10,20,1
10,11,31,3,10,13,1
4,6,22,10,4,14,1
7,5,22,4,10,14,1
11,4,25,4,10,14,1
10,5,17,4,3,17,0
5,10,24,10,3,13,1
2,3,25,3,7,10,1
9,10,19,10,2,12,-1
8,7,25,11,5,16,1
10,10,20,6,10,16,-1
8,10,18,4,10,14,-1
11,10,23,5,6,11,1
6,3,25,11,10,21,1
10,10,20,4,6,10,-1
10,10,20,10,10,20,0
3,2,18,7,3,10,-1
4,10,21,4,3,15,-1
10,9,19,4,4,14,-1
10,11,27,5,5,10,1
10,10,20,5,3,10,-1
2,5,17,10,10,20,1
6,10,20,10,4,14,-1
10,4,18,8,11,19,1
11,2,23,11,11,22,1
6,8,24,3,4,17,1
11,3,24,3,6,19,1
6,11,17,10,10,20,1
7,9,21,5,3,10,1
4,8,22,6,3,19,1
6,3,19,5,7,12,-1
10,6,26,10,11,21,1
10,3,26,10,4,14,1
10,10,20,10,6,16,-1
7,6,17,11,10,21,1
6,4,21,9,11,20,1
7,8,18,10,10,20,1
10,10,20,8,2,10,-1
5,3,17,5,10,15,-1
10,7,17,4,2,14,-1
10,10,20,11,10,21,1
7,7,20,10,10,20,0
10,10,20,5,5,10,-1
8,8,23,5,10,15,1
10,10,20,10,10,20,0
2,10,20,2,8,10,-1
10,2,26,9,10,19,1
5,3,18,11,10,21,1
9,2,23,2,5,15,1
10,8,18,8,9,17,-1
4,10,24,5,6,11,1
5,4,19,5,8,13,-1
7,11,18,7,10,17,-1
10,3,23,7,5,12,1
10,3,24,10,3,13,1
8,3,21,10,10,20,1
4,9,21,8,5,13,1
10,10,20,9,6,15,-1
6,9,21,8,11,19,-1
9,10,19,11,10,21,1
10,7,17,11,3,14,-1
9,7,26,10,10,20,1
2,8,17,8,5,13,-1
7,9,26,10,10,20,1
10,3,23,10,9,19,1
11,2,22,4,7,11,1
6,7,22,3,5,16,1
7,3,25,10,5,15,1
10,10,20,8,6,14,-1
10,9,19,10,11,21,1
3,8,19,10,8,18,-1
10,10,20,2,3,13,-1
6,9,25,9,5,14,1
6,10,23,10,6,16,1
7,11,18,10,10,20,1
10,11,32,4,10,14,1
8,8,22,9,4,13,1
5,9,24,10,3,13,1
5,4,19,6,10,16,-1
10,9,19,3,4,14,-1
11,10,31,6,6,12,1
6,9,21,3,10,13,1
5,10,25,10,5,15,1
9,8,17,10,3,13,-1
7,8,25,6,10,16,1
7,10,17,10,4,14,-1
3,10,24,2,10,12,1
10,4,24,3,2,11,1
5,10,21,5,10,15,1
7,10,17,10,5,15,-1
3,8,18,2,10,12,-1
10,10,20,2,11,13,-1
6,9,22,7,9,16,1
10,11,32,4,6,10,1
10,10,20,2,6,11,-1
4,2,22,9,10,19,1
3,3,27,3,10,13,1
10,2,22,4,5,14,1
7,10,17,5,3,12,-1
8,8,19,2,2,14,-1
10,10,20,10,10,20,0
10,7,17,10,6,16,-1
5,11,26,10,9,19,1
7,8,25,10,11,21,1
11,10,31,3,5,10,1
4,10,21,9,3,12,1
10,2,22,3,5,12,1
3,3,23,10,5,15,1
8,3,18,11,10,21,1
3,10,24,5,10,15,1
7,4,19,6,9,15,-1
5,5,20,3,2,12,-1
3,5,18,10,4,14,-1
11,9,20,7,7,14,-1
7,6,20,7,9,16,-1
5,9,24,7,2,13,1
10,5,24,4,10,14,1
10,8,18,8,9,17,-1
10,10,20,10,9,19,-1
5,8,20,11,11,22,1
8,3,21,10,7,17,1
3,10,24,11,4,15,1
10,5,17,10,10,20,1
2,10,18,2,8,10,-1
6,10,26,6,3,19,1
3,4,26,9,3,12,1
5,9,17,9,7,16,-1
10,10,20,9,8,17,-1
10,9,19,2,8,10,-1
10,3,23,8,4,12,1
3,6,19,10,5,15,-1
10,6,27,6,7,13,1
5,4,19,4,2,16,-1
5,2,18,6,7,13,-1
8,10,18,4,2,16,-1
11,2,19,8,4,12,-1
9,11,20,9,9,18,-1
10,6,22,6,10,16,1
9,2,26,10,2,12,1
10,8,18,7,10,17,-1
10,3,22,10,9,19,1
2,2,11,2,10,12,1
5,9,24,6,10,16,1
6,9,25,4,11,15,1
6,2,16,6,4,10,1
10,11,24,9,10,19,1
6,7,18,7,3,10,-1
10,10,20,9,9,18,-1
8,10,18,6,4,10,-1
10,10,20,10,10,20,0
10,2,19,5,10,15,-1
5,3,25,10,7,17,1
6,10,26,7,10,17,1
8,10,18,9,3,12,-1
10,3,25,6,8,14,1
7,11,18,4,2,14,-1
11,5,18,7,11,18,0
6,10,18,5,6,11,-1
11,10,31,11,10,21,1
10,9,19,4,2,13,-1
8,8,19,9,4,13,-1
10,10,20,10,10,20,0
10,8,18,7,11,18,0
10,11,25,3,4,13,1
2,4,17,5,9,14,-1
10,6,26,9,8,17,1
8,4,17,8,10,18,1
10,9,19,6,2,18,-1
2,10,20,4,8,12,-1
9,10,19,7,3,10,-1
8,8,25,10,10,20,1
10,10,20,10,4,14,-1
10,7,17,4,7,11,-1
9,10,19,11,5,16,-1
9,11,20,6,11,17,-1
8,8,22,6,11,17,1
11,11,30,7,10,17,1
5,10,25,11,2,13,1
10,8,18,8,5,13,-1
6,9,18,5,10,15,-1
9,11,20,10,7,17,-1
2,3,24,6,6,12,1
3,2,13,3,6,16,1
10,10,20,4,3,18,-1
3,11,24,3,9,12,1
5,4,19,9,11,20,1
6,5,21,6,6,12,1
11,9,20,10,9,19,-1
10,4,19,10,8,18,-1
8,2,18,8,4,12,-1
7,10,17,6,4,10,-1
8,4,19,10,7,17,-1
8,7,19,10,11,21,1
2,9,16,6,10,16,0
10,9,19,4,7,11,-1
8,8,22,2,6,12,1
7,7,17,10,2,12,-1
7,7,18,3,10,13,-1
5,9,25,3,8,11,1
6,8,19,10,4,14,-1
10,2,21,5,3,14,-1
10,10,20,5,10,15,-1
9,10,19,3,2,15,-1
4,9,18,2,5,17,-1
10,5,25,9,4,13,1
4,5,22,7,3,10,1
10,10,20,10,3,13,-1
11,7,18,7,10,17,-1
7,10,17,3,11,14,-1
10,4,24,6,6,12,1
10,7,17,2,3,15,-1
3,9,18,7,10,17,-1
9,3,21,8,10,18,-1
10,11,23,11,8,19,1
2,10,22,10,10,20,1
10,9,19,11,8,19,0
8,4,22,5,10,15,1
2,10,22,3,5,11,1
7,10,17,6,6,12,-1
7,7,24,10,8,18,1
3,10,23,11,2,13,1
11,10,25,8,7,15,1
2,2,21,6,4,10,1
11,10,23,3,10,13,1
10,10,20,9,10,19,-1
10,9,19,3,10,13,-1
8,10,18,10,2,12,-1
8,10,18,10,10,20,1
8,11,19,2,4,16,-1
7,3,20,2,4,14,-1
5,9,24,8,10,18,1
11,10,31,4,10,14,1
9,5,25,8,11,19,1
10,7,17,8,10,18,1
3,5,18,7,7,14,-1
5,11,25,10,10,20,1
5,4,20,11,11,22,1
10,10,20,10,2,12,-1
4,10,24,10,10,20,1
2,11,17,10,3,13,-1
7,3,20,9,11,20,0
10,4,18,10,6,16,-1
5,7,18,3,6,13,-1
2,7,19,7,3,10,-1
6,4,18,7,10,17,-1
9,5,18,3,4,17,-1
4,2,24,10,7,17,1
6,4,18,8,5,13,-1
10,9,19,10,10,20,1
4,10,17,7,3,10,-1
9,2,17,10,2,12,-1
7,6,18,3,8,11,-1
9,9,18,10,6,16,-1
6,9,17,5,9,14,-1
7,3,23,10,2,12,1
10,6,26,11,3,14,1
9,3,21,9,3,12,1
11,11,33,2,11,13,1
10,10,20,8,10,18,-1
5,9,23,3,10,13,1
10,4,20,11,9,20,0
10,7,17,5,10,15,-1
8,11,19,3,3,13,-1
9,7,23,10,7,17,1
9,5,20,10,10,20,0
7,9,25,5,10,15,1
8,10,18,9,6,15,-1
10,2,22,10,2,12,1
8,11,19,8,5,13,-1
10,7,17,10,7,17,0
10,11,30,6,8,14,1
10,2,19,7,8,15,-1
11,2,23,5,3,18,1
4,10,24,7,6,13,1
2,6,18,2,8,10,-1
4,5,19,6,10,16,-1
10,7,17,3,10,13,-1
10,8,18,4,8,12,-1
10,10,20,7,6,13,-1
10,10,20,3,6,19,-1
4,10,24,8,3,11,1
5,5,21,10,10,20,1
5,6,21,3,7,10,1
7,8,17,5,9,14,-1
4,10,22,2,2,14,1
10,4,21,10,8,18,1
7,10,17,9,10,19,1
10,10,20,11,5,16,-1
10,10,20,9,6,15,-1
11,7,18,10,4,14,-1
7,9,19,10,7,17,-1
10,7,17,6,10,16,-1
2,7,19,10,5,15,-1
10,10,20,10,4,14,-1
5,7,21,9,9,18,-1
9,10,19,11,8,19,0
10,5,26,10,10,20,1
7,2,18,10,4,14,-1
7,10,17,3,9,12,-1
11,7,18,3,2,14,-1
5,4,18,6,2,18,0
10,8,18,10,7,17,-1
7,2,18,2,6,17,-1
7,6,22,4,11,15,1
5,10,24,5,2,17,1
10,8,18,3,5,15,-1
10,8,18,9,5,14,-1
7,9,22,11,10,21,1
8,10,18,10,5,15,-1
10,5,22,9,10,19,1
10,2,19,3,10,13,-1
7,10,17,8,11,19,1
5,6,25,3,9,12,1
8,6,19,6,10,16,-1
4,5,19,10,10,20,1
9,5,22,10,6,16,1
8,8,25,11,5,16,1
2,4,21,3,10,13,1
10,8,18,10,9,19,1
10,10,20,6,10,16,-1
5,6,21,5,6,11,-1
3,2,15,4,11,15,0
7,6,26,11,4,15,1
10,10,20,6,6,12,-1
10,10,20,10,8,18,-1
11,7,18,10,5,15,-1
7,6,25,8,11,19,1
6,10,26,2,5,18,1
5,11,18,2,6,15,-1
9,10,19,2,4,17,-1
10,9,19,4,10,14,-1
7,3,23,8,10,18,1
4,9,24,10,6,16,1
3,10,25,8,11,19,1
7,8,20,8,10,18,-1
4,2,19,10,8,18,-1
11,11,32,10,4,14,1
6,2,20,5,9,14,-1
10,10,20,5,10,15,-1
10,5,26,8,2,10,1
9,11,20,10,2,12,-1
7,10,17,3,2,13,-1
10,5,25,11,8,19,1
2,9,17,3,5,13,-1
3,5,16,9,7,16,0
10,10,20,11,4,15,-1
2,10,21,2,3,7,-1
2,10,17,8,2,10,-1
6,9,18,11,11,22,1
10,5,22,11,5,16,1
2,7,20,5,4,16,-1
6,10,18,10,11,21,1
10,6,21,3,3,14,1
11,3,25,6,5,11,1
8,6,24,6,3,17,1
8,9,17,6,9,15,-1
6,5,20,11,9,20,0
8,9,17,10,10,20,1
7,7,20,3,2,10,-1
3,10,24,9,3,12,1
2,10,23,3,5,14,1
11,7,18,9,6,15,-1
6,7,23,7,11,18,1
10,4,24,11,10,21,1
10,7,17,10,9,19,1
10,9,19,10,7,17,-1
6,6,18,3,7,10,-1
10,8,18,10,2,12,-1
10,10,20,10,5,15,-1
7,8,25,9,2,11,1
3,10,23,11,2,13,1
7,8,23,10,3,13,1
10,9,19,9,10,19,0
9,10,19,10,5,15,-1
5,10,25,8,9,17,1
10,2,22,5,4,11,1
10,10,20,4,5,19,-1
11,9,20,6,10,16,-1
7,11,18,7,8,15,-1
2,10,22,8,4,12,1
8,11,19,10,8,18,-1
4,5,22,4,7,11,1
9,5,17,3,8,11,-1
10,10,20,10,10,20,0
10,3,24,3,9,12,1
10,8,18,10,5,15,-1
6,2,22,10,5,15,1
6,10,26,7,4,11,1
5,11,21,8,2,10,1
8,9,17,2,6,10,-1
5,11,23,3,10,13,1
9,4,23,8,7,15,1
10,10,20,10,4,14,-1
10,5,22,10,9,19,1
2,5,20,8,10,18,-1
6,8,24,6,7,13,1
3,10,21,10,11,21,0
4,4,20,10,3,13,-1
10,10,20,6,3,16,-1
10,3,23,10,8,18,1
4,10,17,11,7,18,1
3,5,15,6,10,16,1
6,10,18,2,5,17,-1
3,3,15,5,10,15,0
11,2,25,8,2,10,1
10,10,20,10,2,12,-1
3,10,20,11,8,19,-1
3,6,22,6,10,16,1
10,11,31,3,6,15,1
10,6,21,8,3,11,1
10,2,22,10,7,17,1
3,2,22,10,6,16,1
10,10,20,6,3,19,-1
9,10,19,9,5,14,-1
4,10,26,2,5,11,1
8,2,20,3,11,14,-1
3,2,23,2,10,12,1
9,10,19,5,11,16,-1
10,2,23,11,7,18,1
11,2,20,10,10,20,0
2,5,24,10,10,20,1
9,10,19,9,10,19,0
3,5,20,5,5,10,-1
9,4,19,10,4,14,-1
5,11,24,10,5,15,1
10,5,25,4,9,13,1
8,4,26,10,10,20,1
2,5,26,10,7,17,1
4,10,22,10,6,16,1
7,4,24,7,10,17,1
6,10,18,2,10,12,-1
4,10,18,10,11,21,1
2,7,19,10,10,20,1
3,5,19,7,4,11,-1
5,7,21,6,3,20,-1
10,10,20,4,5,20,0
10,10,20,9,2,11,-1
10,4,25,10,6,16,1
10,10,20,10,2,12,-1
8,11,19,11,11,22,1
10,7,17,2,10,12,-1
7,10,17,5,10,15,-1
2,10,26,10,7,17,1
7,8,26,8,4,12,1
10,10,20,2,2,7,-1
10,10,20,4,5,14,-1
3,11,24,6,2,11,1
9,10,19,10,6,16,-1
10,8,18,10,3,13,-1
5,10,21,2,3,8,-1
10,2,20,10,10,20,0
11,3,22,2,3,9,1
2,10,24,8,5,13,1
10,3,22,4,11,15,1
10,8,18,7,10,17,-1
10,10,20,7,8,15,-1
11,10,32,10,9,19,1
9,3,18,8,8,16,-1
6,4,20,8,9,17,-1
5,11,20,6,10,16,-1
3,5,18,10,8,18,0
6,9,25,10,9,19,1
5,10,22,3,8,11,1
3,10,23,10,10,20,1
10,2,22,9,5,14,1
10,6,22,10,10,20,1
8,5,21,11,8,19,1
3,10,18,10,4,14,-1
7,8,25,10,6,16,1
10,10,20,3,10,13,-1
11,5,24,7,10,17,1
4,10,24,4,11,15,1
2,4,25,3,9,12,1
4,2,23,10,6,16,1
4,2,19,2,4,13,-1
8,6,24,10,10,20,1
11,10,25,4,2,9,1
10,8,18,11,6,17,-1
11,3,19,10,8,18,-1
6,9,18,10,9,19,1
10,7,17,7,8,15,-1
2,10,18,7,10,17,-1
9,3,22,4,10,14,1
10,3,23,10,6,16,1
10,11,29,10,9,19,1
3,8,21,3,9,12,1
2,4,19,10,3,13,-1
9,3,23,6,10,16,1
10,10,20,5,2,17,-1
10,11,32,2,4,16,1
5,10,21,3,10,13,1
11,10,26,10,7,17,1
11,11,31,11,10,21,1
4,11,22,7,11,18,1
3,10,24,9,10,19,1
6,4,18,7,10,17,-1
5,2,17,11,3,14,-1
10,3,17,10,10,20,1
4,10,24,8,5,13,1
10,7,17,11,11,22,1
10,10,20,9,10,19,-1
9,4,23,10,7,17,1
3,7,20,7,10,17,-1
8,9,17,10,10,20,1
9,4,26,10,6,16,1
10,7,17,10,10,20,1
10,4,19,10,4,14,-1
5,11,25,10,7,17,1
7,10,17,11,11,22,1
5,6,21,4,11,15,1
11,8,19,4,10,14,-1
9,5,22,7,10,17,1
4,6,18,10,5,15,-1
4,11,26,7,2,19,1
3,5,19,2,7,11,-1
2,5,17,9,5,14,-1
2,3,18,2,11,13,-1
8,6,18,10,8,18,0
7,8,17,2,10,12,-1
2,5,20,10,5,15,-1
10,11,25,11,11,22,1
6,7,18,2,3,16,-1
2,3,21,4,11,15,-1
9,7,19,5,10,15,-1
7,8,19,4,4,10,-1
4,2,20,5,10,15,-1
10,3,19,8,6,14,-1
5,10,26,2,8,10,1
8,3,18,6,10,16,-1
7,2,21,4,7,11,-1
8,8,25,10,3,13,1
7,2,20,11,4,15,-1
10,10,20,8,7,15,-1
7,4,21,11,8,19,-1
10,11,32,2,8,10,1
4,5,20,4,7,11,-1
10,6,18,11,9,20,1
10,8,18,3,10,13,-1
6,5,19,5,6,11,-1
10,3,23,10,4,14,1
9,3,22,10,9,19,1
8,6,19,6,8,14,-1
10,10,20,10,2,12,-1
2,10,18,10,10,20,1
9,7,20,7,7,14,-1
6,5,18,3,9,12,-1
6,6,18,3,8,11,-1
10,11,31,10,5,15,1
6,4,17,10,4,14,-1
2,10,22,3,10,13,1
7,8,23,3,7,10,1
10,8,18,7,4,11,-1
10,9,19,11,5,16,-1
10,10,20,4,6,10,-1
11,10,28,11,8,19,1
2,6,18,10,2,12,-1
10,11,27,10,5,15,1
2,6,18,10,6,16,-1
5,7,22,7,10,17,1
2,3,19,2,6,19,0
10,11,30,10,5,15,1
7,10,17,6,11,17,0
9,4,22,2,10,12,1
3,9,20,3,8,11,-1
7,5,23,11,10,21,1
10,2,22,10,8,18,1
9,10,19,2,10,12,-1
6,4,21,5,7,12,-1
6,8,24,10,3,13,1
3,4,18,8,9,17,-1
9,6,25,7,3,10,1
4,10,24,6,9,15,1
6,9,20,10,8,18,-1
10,3,23,10,4,14,1
5,8,17,10,11,21,1
8,2,17,2,10,12,-1
11,6,17,10,5,15,-1
10,10,20,7,11,18,-1
3,10,21,2,3,13,-1
10,10,20,3,7,10,-1
5,5,21,7,6,13,-1
5,10,23,10,8,18,1
6,5,26,3,6,14,1
3,8,17,3,6,18,1
11,2,18,8,10,18,0
3,11,20,2,6,18,-1
10,6,27,4,10,14,1
9,10,19,8,8,16,-1
10,2,20,7,5,12,-1
10,6,21,5,6,11,-1
2,7,20,7,2,13,-1
